No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted
13,Keenan Allen,32,WR,,,211,6-2,California,4/27/1992,11,,San Diego Chargers / 3rd / 76th pick / 2013
17,Tyson Bagent,24,QB,,,213,6-3,Shepherd,6/8/2000,1,,
47,Micah Baskerville,25,LB,,,224,6-0,LSU,10/19/1999,1,,
87,Brenden Bates,25,TE,,,255,6-5,Kentucky,10/17/1999,Rook,,
71,Ryan Bates,27,T,,,302,6-4,Penn St.,2/14/1997,5,,
62,Theo Benedet,23,OL,,,305,6-7,British Columbia (CAN),10/12/2001,Rook,,
97,Andrew Billings,29,DT,,,311,6-1,Baylor,3/6/1995,7,,Cincinnati Bengals / 4th / 122nd pick / 2016
39,Josh Blackwell,25,CB,,,180,5-11,Duke,4/5/1999,2,,
35,Khari Blasingame,28,RB,,,233,6-0,Vanderbilt,7/1/1996,5,,
26,Travian Blaylock,,S,,,208,5-11,Wisconsin,,Rook,,
94,Austin Booker,22,DL,,,240,,"Minnesota,Kansas",12/14/2002,Rook,,Chicago Bears / 5th / 144th pick / 2024
75,Larry Borom,25,OL,,,333,6-5,Missouri,3/30/1999,3,,Chicago Bears / 5th / 151st pick / 2021
9,Jaquan Brisker,25,S,,,200,6-1,"Lackawanna,Penn St.",4/20/1999,2,,Chicago Bears / 2nd / 48th pick / 2022
31,Kevin Byard,31,S,,,212,5-11,Middle Tenn. St.,8/17/1993,8,,Tennessee Titans / 3rd / 64th pick / 2016
88,Stephen Carlson,28,TE,,,240,6-4,Princeton,12/12/1996,5,,
30,DeAndre Carter,31,WR,,,190,5-8,Sacramento St.,4/10/1993,6,,
69,Ja'Tyre Carter,25,OL,,,311,6-3,Southern,1/15/1999,2,,Chicago Bears / 7th / 226th pick / 2022
63,Jerome Carvin,24,OL,,,321,,Tennessee,9/20/2000,Rook,,
25,Adrian Colbert,31,SS,,,205,6-2,Miami (FL),10/6/1993,7,,San Francisco 49ers / 7th / 229th pick / 2017
38,Douglas Coleman,26,DB,,,200,6-1,Texas Tech,6/28/1998,Rook,,
74,Aviante Collins,30,OG,,,292,6-4,TCU,5/13/1994,7,,
93,Byron Cowart,28,DL,,,300,6-3,Maryland,5/20/1996,5,,New England Patriots / 5th / 159th pick / 2019
73,Jake Curhan,26,T,,,316,6-6,California,7/9/1998,3,,
64,Nate Davis,28,G,,,316,6-3,Charlotte,9/23/1996,5,,Tennessee Titans / 3rd / 82nd pick / 2019
99,Gervon Dexter,23,DL,,,312,,Florida,10/5/2001,1,,Chicago Bears / 2nd / 53rd pick / 2023
78,Michael Dwumfour,26,DL,,,296,6-1,"Michigan,Rutgers",1/1/1998,3,,
49,Tremaine Edmunds,26,ILB,,,250,6-5,Virginia Tech,5/2/1998,6,,Buffalo Bills / 1st / 16th pick / 2018
53,T.J. Edwards,28,OLB,,,242,6-1,Wisconsin,8/12/1996,5,,
14,Gerald Everett,30,TE,,,250,6-3,South Alabama,6/25/1994,7,,Los Angeles Rams / 2nd / 44th pick / 2017
6,Kyler Gordon,25,DB,,,200,6-0,Washington,12/17/1999,2,,Chicago Bears / 2nd / 39th pick / 2022
92,Daniel Hardy,26,LB,,,240,6-3,Montana State,12/15/1998,2,,Los Angeles Rams / 7th / 235th pick / 2022
24,Khalil Herbert,26,RB,,,212,5-9,"Kansas,Virginia Tech",4/21/1998,3,,Chicago Bears / 6th / 217th pick / 2021
22,Elijah Hicks,25,S,,,200,5-11,California,10/16/1999,2,,Chicago Bears / 7th / 254th pick / 2022
20,Travis Homer,26,RB,,,202,5-10,Miami (FL),8/7/1998,5,,Seattle Seahawks / 6th / 204th pick / 2019
63,Jaylon Hutchings,,DL,,,305,,Texas Tech,,Rook,,
26,John Jackson,25,WR,,,215,6-1,USC,8/23/1999,Rook,,
76,Teven Jenkins,26,T,,,321,6-6,Oklahoma St.,3/3/1998,3,,Chicago Bears / 2nd / 39th pick / 2021
80,Collin Johnson,27,WR,,,222,6-6,Texas,9/23/1997,4,,Jacksonville Jaguars / 5th / 165th pick / 2020
1,Jaylon Johnson,25,CB,,,196,6-0,Utah,4/19/1999,4,,Chicago Bears / 2nd / 50th pick / 2020
26,Quindell Johnson,25,DB,,,208,,Memphis,11/5/1999,1,,
23,Roschon Johnson,23,RB,,,225,,Texas,1/31/2001,1,,Chicago Bears / 4th / 115th pick / 2023
70,Braxton Jones,25,OL,,,310,6-5,Southern Utah,3/27/1999,2,,Chicago Bears / 5th / 168th pick / 2022
50,Carl Jones,23,DL,,,230,6-2,UCLA,8/8/2001,Rook,,
21,Jaylon Jones,27,DB,,,190,5-11,Mississippi,10/14/1997,2,,
37,Leon Jones,24,CB,,,195,6-1,Arkansas State,7/9/2000,Rook,,
12,Velus Jones Jr.,27,WR,,,200,6-0,"USC,Tennessee",5/11/1997,2,,Chicago Bears / 3rd / 71st pick / 2022
52,Khalid Kareem,26,DL,,,268,6-4,Notre Dame,4/28/1998,4,,Cincinnati Bengals / 5th / 147th pick / 2020
85,Cole Kmet,25,TE,,,260,6-6,Notre Dame,3/10/1999,4,,Chicago Bears / 2nd / 43rd pick / 2020
68,Doug Kramer,26,OL,,,300,6-2,Illinois,6/4/1998,1,,Chicago Bears / 6th / 207th pick / 2022
59,Jamree Kromah,24,DL,,,275,6-4,James Madison,6/14/2000,Rook,,
84,Marcedes Lewis,40,TE,,,265,6-6,UCLA,5/19/1984,18,,Jacksonville Jaguars / 1st / 28th pick / 2006
43,Cameron Lyons,25,LS,,,225,6-0,Charlotte,1/11/1999,Rook,,
69,Dashaun Mallory,,DL,,,275,,Arizona St.,,Rook,,
55,Jacob Martin,29,OLB,,,242,6-2,Temple,12/11/1995,6,,Seattle Seahawks / 6th / 186th pick / 2018
43,Paul Moala,24,LB,,,229,6-0,Georgia Tech,1/31/2000,Rook,,
2,D.J. Moore,27,WR,,,210,5-11,Maryland,4/14/1997,6,,Carolina Panthers / 1st / 24th pick / 2018
30,Tarvarius Moore,28,S,,,200,6-2,Southern Miss,8/16/1996,6,,San Francisco 49ers / 3rd / 95th pick / 2018
60,Bill Murray,27,DT,,,307,6-4,William & Mary,7/3/1997,2,,
15,Rome Odunze,22,WR,,,212,,Washington,6/3/2002,Rook,,Chicago Bears / 1st / 9th pick / 2024
45,Amen Ogbongbemiga,26,LB,,,231,6-0,Oklahoma St.,9/4/1998,3,,
36,Jonathan Owens,29,S,,,210,5-11,Missouri Western St.,7/22/1995,5,,
81,Dante Pettis,29,WR,,,195,6-1,Washington,10/23/1995,6,,San Francisco 49ers / 2nd / 44th pick / 2018
96,Zacch Pickens,24,DL,,,300,,South Carolina,3/6/2000,1,,Chicago Bears / 3rd / 64th pick / 2023
79,Matt Pryor,30,OT,,,332,6-7,TCU,12/16/1994,5,,Philadelphia Eagles / 6th / 206th pick / 2018
67,Keith Randolph,,DL,,,296,,Illinois,,Rook,,
16,Austin Reed,,QB,,,220,,"Southern Illinois,West Florida,Western Kentucky",,Rook,,
90,Dominique Robinson,26,DE,,,253,6-5,Miami (OH),7/2/1998,2,,Chicago Bears / 5th / 174th pick / 2022
11,Brett Rypien,28,QB,,,202,6-2,Boise St.,7/9/1996,4,,
57,Jack Sanborn,24,LB,,,234,,Wisconsin,7/29/2000,2,,
8,Cairo Santos,33,K,,,175,5-8,Tulane,11/12/1991,10,,
48,Patrick Scales,36,LS,,,226,6-3,Utah St.,2/11/1988,10,,
10,Tyler Scott,23,WR,,,185,,Cincinnati,10/12/2001,1,,Chicago Bears / 4th / 133rd pick / 2023
44,Noah Sewell,22,LB,,,253,6-2,Oregon,4/26/2002,1,,Chicago Bears / 5th / 148th pick / 2023
65,Coleman Shelton,29,C,,,299,6-4,Washington,7/28/1995,5,,
32,Terell Smith,25,DB,,,207,6-0,Minnesota,7/27/1999,1,,Chicago Bears / 5th / 165th pick / 2023
29,Tyrique Stevenson,24,CB,,,204,,"Georgia,Miami (FL)",5/26/2000,1,,Chicago Bears / 2nd / 56th pick / 2023
46,Reddy Steward,23,DB,,,178,5-11,Troy,5/4/2001,Rook,,
27,Greg Stroman,28,CB,,,180,5-11,Virginia Tech,3/8/1996,6,,Washington Redskins / 7th / 241st pick / 2018
86,Freddie Swain,26,WR,,,199,6-0,Florida,8/4/1998,4,,Seattle Seahawks / 6th / 214th pick / 2020
98,Montez Sweat,28,DE,,,262,6-6,"Michigan St.,Copiah-Lincoln CC,Mississippi St.",9/4/1996,5,,Washington Redskins / 1st / 26th pick / 2019
47,Tommy Sweeney,29,TE,,,255,6-5,Boston Col.,7/1/1995,5,,Buffalo Bills / 7th / 228th pick / 2019
4,D'Andre Swift,25,RB,,,215,5-9,Georgia,1/14/1999,4,,Detroit Lions / 2nd / 35th pick / 2020
19,Tory Taylor,27,P,,,230,,Iowa,7/10/1997,Rook,,Chicago Bears / 4th / 122nd pick / 2024
33,Ro Torrence,,DB,,,200,,Arizona St.,,Rook,,
37,Corliss Waitman,29,P,,,210,6-2,South Alabama,7/21/1995,3,,
95,DeMarcus Walker,30,DE,,,280,6-4,Florida St.,9/30/1994,7,,Denver Broncos / 2nd / 51st pick / 2017
83,Nsimba Webster,28,WR,,,180,5-10,Eastern Washington,1/27/1996,5,,
33,Ian Wheeler,23,RB,,,205,5-11,Howard,9/15/2001,Rook,,
60,Javin White,27,DB,,,205,6-3,UNLV,2/21/1997,4,,
18,Caleb Williams,23,QB,,,215,,"Oklahoma,USC",11/18/2001,Rook,,Chicago Bears / 1st / 1st pick / 2024
58,Darnell Wright,23,OL,,,335,,Tennessee,8/10/2001,1,,Chicago Bears / 1st / 10th pick / 2023
72,Kiran Amegadjie (NON),22,OL,,,323,,Yale,2/1/2002,Rook,,Chicago Bears / 3rd / 75th pick / 2024
